Produto;Preco
"Notebook Samsung Galaxy Book Go Snapdragon 7C Tela 14"" Ram 4GB 128GB UFS Preto";2599.0
Notebook Samsung Galaxy Book4 Intel Core i3 256GB SSD 8GB RAM Tela 15.6 FHD LED Windows 11 Home Grafite;4199.0
Notebook Lenovo Ideapad Slim 3I I5 8G RAM 512GB Cinza;4599.0
Notebook Lenovo Ideapad Celeron Prata 4GB RAM 128GB SSD;2599.0
"Notebook Samsung Galaxy Book4 Intel Core i5-1355U 512GB SSD 8GB RAM Windows 11 Home Tela 15.6"" Grafite";5199.0
Notebook Positivo Duo 2 em 1 Intel Celeron 4GB 128GB Tela 11.6 Windows11 Cinza C4128B-3;1999.0
Notebook Lenovo Ideapad Slim 3 7G 256GB 8GB RAM Cinza;3999.0
"Notebook Gamer ACER Tela 15,6"" FHD IPS 165Hz Intel Core i5-13420H 512GB NVIDIA GeForce RTX 5050 8GB 16GB RAM AS-BI";5999.0
"Notebook Asus Ryzen 5 256GB Cor Black Intel Windows 11 Tela 15,6"" E1504FA-NJ825W";3599.0
"Notebook Acer AG15-51P-35JZ Tela 15,3"" i3 13ª Geração 8GB RAM 256GB IPS Azul";3699.0
Notebook Gamer MSI RTX3050 I5 512GB 16GB RAM AS-BI;4999.0
Notebook Positivo Vision C15M Intel Celeron 4GB RAM 128GB Windows 11 Grafite;2499.0
Notebook Asus Tuf Gaming Ryzen 7 512GB Windows 11 RTX3050 DDR5;8199.0
Notebook Acer AG15-51P-55LL i5 13° Geração 256GB 8GB RAM Azul;3999.0
"Notebook Gamer MSI Thin Tela 15,6"" FHD 144Hz Intel Core i5-13420H 512GB NVIDIA GeForce RTX 4050 6GB 16GB DDR4 AS-BI";5699.0
"Notebook Gamer MSI Cyborg Tela 15,6"" FHD 144Hz Intel Core 7 240H 512GB Placa NVIDIA GeForce RTX 5060 8GB 16GB RAM AS-BI";7699.0
Notebook Asus Vivobook Go 15 Intel Celeron I5 4GB RAM 128 GB Grafite E510KA-BR808WS;3199.0
Notebook Asus Vivobook 15 Intel Core I5 8GB RAM 256 GB W11 Home Grafite X1504VA-NJ1737W;4699.0
"Notebook Positivo Vision Celeron® 4GB RAM 128GB Tela 14.1"" Windows 11 Cinza";1899.0
"Notebook Acer 39MU Tela 15.3"" Intel i3 13ª Geração 8GB 256GB SSD Cinza";3199.0
